nomor_material,nama_material,kuantitas,tipe_survey
95,Jointing Termination 24 Kv - uk. 150  mm - 3 Core/XLPE,0,SKTM
97,Jointing Termination 24 Kv - uk. 240  mm - 3 Core/XLP,0,SKTM
