nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
657,1,Kartu Pulsa u/modem,Ls,0,0,0,0,NON MDU,TUNAI
658,1,"NYAF / NYA 2,5 mm² ( SPLN )",M,20,7457,5500,3300,NON MDU,TUNAI
659,1,Timah solder + pasta,Ls,2,3171,2000,1200,NON MDU,TUNAI
660,1,"Bolt & Nut 3/16 x 1""",B,10,9101,2318,1391,NON MDU,TUNAI
661,1,Timah Segel,B,4,78032,1750,1050,NON MDU,TUNAI
662,1,Mountage SLM 250 kva keatas,Ls,1,167163,185431,111259,0,PLN
663,1,Cable ties / Plastic strap 20 cm,Pak,20,2355,2318,1391,NON MDU,TUNAI
664,1,Dina bolt S 16,Bh,0,0,0,0,NON MDU,TUNAI
665,1,"Earthing Rod 16 mm 0 2,5 m + clamp (509/U/2009)",S,0,291799,56007,33604,NON MDU,TUNAI
666,1,BC 50 MM,M,0,91011,4056,2434,NON MDU,TUNAI
667,1,Klemp PVC 12 mm U/ kabel NYY,Bh,10,531,159,96,NON MDU,TUNAI
668,1,Paku baja 4 cm,Bh,20,0,0,0,NON MDU,TUNAI
669,1,Coper tube 50 mm,Bh,0,42774,19153,11492,NON MDU,TUNAI
670,1,Gembok Electronic,B,1,3786825,20002,12001,MDU UP3,PLN
671,1,Galian tanah & pengurugan kembali di bawah PV blok/tembok/plesteran,m3,0,0,296506,177903,NON MDU,TUNAI
672,1,"Ornament Cabel Band 3"" x 6"" 0 lengkap Bolt&Nut0HDG",bh,0,104800,7533,4520,NON MDU,TUNAI
673,1,"Ornament Cabel Band 3"" x 7"" 0 lengkap Bolt&Nut0HDG",bh,0,113654,7533,4520,NON MDU,TUNAI
674,1,Borring untuk Kabel tanah,m,0,0,897188,538313,NON MDU,TUNAI
