nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
459,1,Begel Klem kaca mata + Bolt 3 u/Steel 70 mm,B,"0,2",0,0,0,NON MDU,TUNAI
460,1,Guy Insulator LV (TR) 0 belimbing,B,"0,8",59375,6501,3900,NON MDU,TUNAI
461,1,Guy Insulator MV (TM) 0 belimbing,B,"1,2",85303,7501,4500,NON MDU,TUNAI
462,1,Pipa Wespex 25 mm untuk AAAC 150mm,M,"1,1",20600,22364,13418,NON MDU,TUNAI
463,1,Preformed Side Tie Double 150mm (Semi Cond/non metalic/Composite),B,"0,2",200250,8692,5215,NON MDU,TUNAI
464,1,"LV Panel 250A, 2 Jurusan (SPLN D3.01601 : 2010)0LBS",S,75,11379240,701414,420848,MDU PUSAT,PLN
465,1,"LV Panel 400A, 4 Jurusan (SPLN D3.01601 : 2010)0LBS",S,115,14091139,849080,509448,MDU PUSAT,PLN
466,1,Preformed Top Tie 150mm (Semi Cond/non metalic/Composite),B,"0,2",106000,11589,6954,NON MDU,TUNAI
467,1,Preformed Side Tie 150mm (Semi Cond/non metalic/Composite),B,"0,2",106000,8692,5215,NON MDU,TUNAI
468,1,"Pipa Air 2"" 0 5 meter ( medium )  (555/U/2009)",B,"2,06",639861,19108,11465,NON MDU,TUNAI
469,1,"Pipa Air 2"" 0 1 meter ( medium ) + draad u/L Bow besi",B,"2,06",165681,11531,6918,NON MDU,TUNAI
470,1,"Pipa Air 3"" 0 1 meter ( medium ) + draad  u/ L Bow besi",B,"2,06",282365,17790,10674,NON MDU,TUNAI
471,1,"L Bow 3"" besi + sock draad dalam",B,3,238619,12169,7301,NON MDU,TUNAI
472,1,"L Bow 2"" besi + sock draad dalam",B,"1,5",157110,11010,6606,NON MDU,TUNAI
473,1,"Pipa Air 2"" 0 1,5 meter ( medium ) + draad u/L Bow besi",B,"2,06",287459,41064,24639,NON MDU,TUNAI
474,1,"Pipa Air 3"" 0 1,5 meter ( medium ) + draad  u/ L Bow besi",B,"2,06",0,0,0,NON MDU,TUNAI
475,1,Bolt M.12 x 30 + Washer  Cu,B,"0,14",16723,2608,1565,NON MDU,TUNAI
476,1,Galvanized Steel Wire 110 mm,M,"0,95",0,0,0,NON MDU,TUNAI
477,1,Tekep (MV Cover),B,"0,75",106254,20421,12253,NON MDU,TUNAI
478,1,Semi Cond. Preformed Top Tie,B,"0,75",106000,11589,6954,NON MDU,TUNAI
479,1,Semi Cond. Preformed Side Tie,B,"0,75",106000,8692,5215,NON MDU,TUNAI
480,1,Potensial Trafo (PT) 20 kV 0 Outdoor,B,15,4769294,112013,67208,MDU PUSAT,PLN
481,1,Current Trafo (CT) 20 kV 0 Outdoor,B,18,4042338,118602,71161,MDU PUSAT,PLN
482,1,"Meter Elektronik (ME) 3 ph 0 4 W , teg: 57,7/100V; Arus :5A. Class: 0,5",S,"2,5",1436450,434605,260763,MDU UP3,PLN
483,1,Kotak APP type VI 1 (satu) pintu/kaca,S,112,1884972,260763,156458,MDU UID,PLN
484,1,NYY 4 x 10 mm u/ Wirring CT,M,"4,5",126454,0,0,NON MDU,TUNAI
485,1,Mountage PT0CT Exim,Ls,0,0,0,0,NON MDU,TUNAI
486,1,"Gaspijp 1,5"" 0 4,0 m, Galvanized",B,"3,5",0,0,0,NON MDU,TUNAI
487,1,"Cross Arm type 1.200 NP. 8,0",B,"7,64",173544,0,0,NON MDU,TUNAI
488,1,Live Line Connector 150 0 240 mm,B,"7,64",312609,51683,31010,NON MDU,TUNAI
489,1,"Dudukan : Trafo Cantol, Pipa Kabel, PHB0TR & Dudukan Arrester",S,75,6112197,628032,376819,NON MDU,TUNAI
490,1,"Dudukan : Trafo Portal, Pipa Kabel, PHB0TR & Dudukan Arrester",S,115,11214960,897188,538313,NON MDU,TUNAI
491,1,Semi Cond. Preformed Side Tie Double,B,"0,75",200250,8692,5215,NON MDU,TUNAI
492,1,PHB 0 TR 2 Jurusan 400 A 0 SPLN D5.016.1 : 2010,B,45,11379240,553748,332249,MDU PUSAT,PLN
493,1,Tiang Beton 14 0 500 daN + E,B,1375,8891907,1553429,932057,MDU PUSAT,PLN
494,1,Plat Extension GW,-,0,0,0,0,NON MDU,TUNAI
495,1,"Double Arm Band 6"" 0 TM (l=44mm, t=6mm)",B,"2,24",152731,20861,12517,NON MDU,TUNAI
496,1,"Arm Tie Band 7"" 0 TM",B,"2,11",76023,26076,15646,NON MDU,TUNAI
497,1,Bolt & Nut M.16 x 110,S,"0,26",16986,0,0,NON MDU,TUNAI
498,1,Jointing Termination 3 X 240 + 1 x 95 mm,S,"7,5",0,0,0,NON MDU,TUNAI
499,1,"Cross Arm type 3.000 NP. 6,5",B,"4,7",437469,56007,33604,NON MDU,TUNAI
500,1,"Pipa Air 3"" 0 2 meter ( medium 2,5mm ) + Plat GW Clamp Type A",B,"4,19",430392,18120,10872,NON MDU,TUNAI
501,1,"Pipa Air 3"" 0 2 meter ( medium 2,5mm ) + Plat GW Clamp Type B",B,"4,19",463505,18120,10872,NON MDU,TUNAI
502,1,"Pipa Air 3"" 0 2 meter ( medium 2,5mm ) + Plat GW Clamp Type C",B,"4,19",445845,18120,10872,NON MDU,TUNAI
503,1,"Single Guy Wire Band 6""07"" 0 Lebar 35, tebal 3,5 mm 0 GSW",S,"1,4",76248,10431,6258,NON MDU,TUNAI
504,1,"Single Guy Wire Band 3""04"" 0 Lebar 35, tebal 3,5 mm 0 GSW",S,"1,4",56631,8692,5215,NON MDU,TUNAI
505,1,Cross Arm type 500 0 NP. 10,B,"2,39",153010,13328,7997,NON MDU,TUNAI
506,1,Cross Arm type 1.000 NP.10,B,"7,14",258991,19108,11465,NON MDU,TUNAI
507,1,Dudukan Recloser lengkap,B,"16,5",0,0,0,NON MDU,TUNAI
508,1,Dudukan LBS Motorized lengkap,B,"16,5",0,0,0,NON MDU,TUNAI
